translations_from,translations_to,article_count
ady,tr,1
af,ca,2
af,ckb,1
af,en,11
af,fr,1
af,kn,1
af,nl,3
af,nso,1
af,ro,1
af,ru,1
af,sv,1
af,tr,1
af,uk,1
ak,en,1
am,ast,1
am,en,6
am,om,6
am,pt,1
am,so,1
am,sv,1
am,ti,1
an,en,1
an,es,3
an,ro,1
ar,am,1
ar,ary,10
ar,arz,8
ar,be,1
ar,bg,4
ar,bm,1
ar,bn,12
ar,bs,2
ar,ckb,58
ar,cs,2
ar,de,11
ar,dv,1
ar,en,372
ar,es,10
ar,fa,31
ar,fr,37
ar,gl,1
ar,ha,4
ar,he,10
ar,hr,1
ar,hyw,1
ar,id,3
ar,it,3
ar,iu,5
ar,ja,1
ar,jv,1
ar,kab,3
ar,kcg,1
ar,ko,2
ar,ku,5
ar,ml,1
ar,ms,9
ar,nl,2
ar,nqo,2
ar,om,6
ar,pnb,1
ar,ps,1
ar,pt,3
ar,qu,1
ar,ru,10
ar,sco,1
ar,simple,1
ar,sk,2
ar,so,4
ar,sv,2
ar,sw,4
ar,te,1
ar,th,2
ar,ti,1
ar,tr,10
ar,ts,1
ar,ug,1
ar,ur,7
ar,uz,34
ar,zh,8
arc,he,1
arc,ur,1
ary,ar,2
ary,en,1
ary,es,1
ary,fa,1
ary,fr,2
ary,ja,4
arz,ar,7
arz,cs,1
arz,en,5
arz,es,2
arz,fa,1
arz,he,1
arz,it,1
arz,nds,1
as,bn,1
as,en,8
as,hi,1
ast,ar,1
ast,en,6
ast,es,3
ast,eu,1
ast,gl,1
ast,nl,1
ast,ru,1
avk,en,1
az,av,1
az,ba,18
az,ce,1
az,chr,1
az,da,1
az,de,2
az,en,76
az,es,1
az,fa,7
az,fr,1
az,hy,3
az,id,1
az,ik,1
az,it,1
az,ja,2
az,ka,11
az,kk,1
az,mn,1
az,nl,1
az,nov,1
az,oc,1
az,os,1
az,pl,3
az,pnt,1
az,pt,1
az,ru,33
az,rue,1
az,te,1
az,th,1
az,tr,59
az,uz,7
az,vep,1
az,xal,1
az,zh,1
azb,en,1
azb,th,1
azb,ur,1
ba,crh-latn,1
ba,en,1
ba,hy,1
ba,ja,1
ba,kk,2
ba,ru,11
ba,tg,1
ba,tt,41
ba,uk,2
ba,ur,1
ban,en,1
bar,en,1
bar,la,1
bcl,en,6
bcl,tl,2
bcl,tpi,1
be,ba,1
be,be-tarask,4
be,co,1
be,cs,1
be,de,1
be,en,9
be,eo,1
be,et,1
be,fr,1
be,gl,1
be,mdf,1
be,olo,1
be,pl,12
be,pt,1
be,ru,91
be,rue,1
be,simple,1
be,sw,1
be,tt,1
be,uk,17
be,zh,1
bg,av,1
bg,az,2
bg,be,2
bg,cs,2
bg,de,3
bg,el,6
bg,en,63
bg,fr,7
bg,gl,1
bg,he,1
bg,hi,2
bg,it,3
bg,mk,4
bg,mzn,1
bg,pl,2
bg,ro,1
bg,ru,5
bg,sr,51
bg,tr,2
bg,uk,4
bg,zh,1
bn,am,1
bn,ar,4
bn,as,8
bn,bho,1
bn,en,123
bn,fa,2
bn,fr,1
bn,hi,6
bn,kn,2
bn,ne,1
bn,oc,1
bn,pa,1
bn,sa,2
bn,simple,2
bn,ur,3
bn,zu,1
br,en,1
br,es,1
br,fr,1
br,gl,1
bs,bn,1
bs,ca,1
bs,cs,1
bs,de,2
bs,en,17
bs,es,1
bs,hr,2
bs,it,1
bs,ja,1
bs,mk,1
bs,sl,1
bs,sr,20
bs,sv,1
bs,uk,1
bs,ur,1
bxr,mn,1
ca,af,1
ca,an,1
ca,ar,3
ca,ast,2
ca,bn,1
ca,co,1
ca,de,4
ca,el,6
ca,en,48
ca,eo,1
ca,es,95
ca,eu,5
ca,fa,2
ca,fi,2
ca,fr,12
ca,gl,6
ca,hu,1
ca,ko,1
ca,ku,1
ca,lij,1
ca,ms,1
ca,nl,17
ca,nn,1
ca,oc,4
ca,pl,2
ca,pt,3
ca,ro,1
ca,ru,1
ca,sc,1
ca,simple,7
ca,tr,12
ca,vec,1
ca,vi,1
ce,en,1
ce,ja,1
ceb,af,1
ceb,an,1
ceb,ang,1
ceb,ar,2
ceb,ast,1
ceb,br,1
ceb,ca,1
ceb,de,9
ceb,en,32
ceb,es,25
ceb,fa,15
ceb,fr,5
ceb,he,4
ceb,id,1
ceb,it,3
ceb,ja,1
ceb,ka,1
ceb,nl,2
ceb,pnb,1
ceb,pt,2
ceb,ru,5
ceb,sh,1
ceb,sk,1
ceb,sv,1
ceb,uk,7
ceb,zh,3
ckb,ar,19
ckb,azb,1
ckb,de,1
ckb,en,14
ckb,fa,8
ckb,fr,1
ckb,ku,3
ckb,mzn,1
ckb,sn,1
ckb,ur,3
co,en,1
co,fr,2
co,frr,1
co,it,2
crh-latn,fr,1
cs,ar,1
cs,bg,1
cs,ca,2
cs,de,29
cs,en,155
cs,eo,3
cs,es,6
cs,eu,2
cs,fr,6
cs,gl,1
cs,he,2
cs,hr,1
cs,hu,5
cs,id,1
cs,ja,6
cs,ka,1
cs,ko,9
cs,lt,1
cs,lv,1
cs,nb,1
cs,nl,1
cs,pdc,1
cs,pl,14
cs,pt,1
cs,ru,13
cs,rue,1
cs,sah,1
cs,sh,2
cs,simple,3
cs,sk,104
cs,sl,1
cs,sq,1
cs,sr,4
cs,tr,2
cs,uk,17
cs,uz,1
cs,vi,1
cs,zh,1
csb,jbo,1
cu,en,1
cv,co,1
cv,ru,3
cv,zh,1
cy,br,1
cy,de,1
cy,en,11
cy,es,1
cy,ga,7
cy,hr,1
cy,kw,1
cy,sr,1
cy,uk,1
cy,ur,1
da,bs,1
da,cs,1
da,de,6
da,en,40
da,eo,1
da,es,2
da,fa,1
da,fi,2
da,fr,2
da,fy,1
da,hr,2
da,is,2
da,ja,1
da,ka,1
da,nb,1
da,nl,1
da,nn,1
da,sv,25
da,ta,5
da,tl,1
da,uk,2
dag,en,2
de,am,4
de,an,1
de,ang,1
de,ar,17
de,arz,1
de,az,4
de,bar,5
de,be,2
de,bg,10
de,bn,1
de,br,1
de,bs,3
de,ca,95
de,cs,161
de,csb,1
de,da,6
de,el,34
de,en,429
de,eo,21
de,es,111
de,et,3
de,eu,3
de,fa,68
de,fi,4
de,fr,244
de,ga,2
de,gl,1
de,gsw,3
de,haw,1
de,he,15
de,hi,2
de,hr,8
de,hsb,1
de,hu,19
de,hy,3
de,id,6
de,is,2
de,it,60
de,ja,84
de,ka,5
de,kg,1
de,ko,26
de,ksh,1
de,ku,1
de,la,2
de,lb,6
de,lld,2
de,lt,7
de,ltg,1
de,lv,3
de,mk,15
de,ml,1
de,mn,1
de,mt,1
de,nb,14
de,nds,3
de,nds-nl,1
de,nl,69
de,nn,2
de,oc,1
de,pdc,1
de,pfl,1
de,pl,38
de,pt,47
de,rm,3
de,rmy,1
de,ro,39
de,ru,133
de,rue,1
de,sa,1
de,se,1
de,sh,3
de,simple,8
de,sk,5
de,sl,5
de,smn,1
de,sq,5
de,sr,130
de,sv,18
de,sw,1
de,szl,1
de,tg,4
de,th,5
de,tk,2
de,tl,1
de,tr,55
de,ug,1
de,uk,82
de,ur,1
de,uz,38
de,vec,1
de,vi,2
de,yi,1
de,yue,8
de,zh,28
dv,en,1
el,ady,1
el,ar,2
el,az,1
el,bg,2
el,de,11
el,en,141
el,es,3
el,fa,1
el,fr,9
el,he,1
el,hu,3
el,hy,1
el,ig,1
el,it,6
el,ja,7
el,ko,1
el,nb,1
el,nn,1
el,pnt,1
el,pt,1
el,ru,6
el,sq,1
el,sr,8
el,tr,29
el,uk,1
en,ab,6
en,ace,1
en,af,101
en,ak,51
en,am,34
en,an,5
en,ang,10
en,ar,3979
en,arc,2
en,ary,13
en,arz,31
en,as,90
en,ast,9
en,av,3
en,avk,3
en,ay,1
en,az,190
en,azb,2
en,ba,2
en,ban,3
en,bar,3
en,bcl,69
en,be,139
en,be-tarask,4
en,bg,233
en,bho,12
en,bjn,2
en,bm,2
en,bn,1258
en,bo,1
en,br,15
en,bs,212
en,ca,1701
en,cdo,1
en,ce,1
en,ceb,12
en,ch,1
en,chr,2
en,ckb,317
en,co,4
en,cr,2
en,cs,1237
en,csb,1
en,cu,1
en,cv,1
en,cy,74
en,da,120
en,dag,4
en,de,691
en,diq,2
en,dsb,2
en,dv,7
en,dz,2
en,el,874
en,eml,1
en,eo,134
en,es,4640
en,et,70
en,eu,121
en,ext,1
en,fa,4092
en,ff,5
en,fi,131
en,fj,1
en,fo,2
en,fr,3034
en,fy,3
en,ga,91
en,gcr,2
en,gd,3
en,gl,88
en,gn,5
en,gom,5
en,gor,2
en,got,5
en,gsw,2
en,gu,152
en,guw,2
en,gv,1
en,ha,669
en,hak,3
en,haw,29
en,he,2669
en,hi,614
en,hif,1
en,hr,206
en,hsb,1
en,ht,12
en,hu,415
en,hy,130
en,hyw,47
en,ia,8
en,id,1191
en,ie,3
en,ig,1027
en,ilo,3
en,io,2
en,is,26
en,it,1536
en,iu,3
en,ja,2583
en,jam,2
en,jbo,1
en,jv,10
en,ka,243
en,kaa,4
en,kab,10
en,kcg,1
en,kk,71
en,kl,1
en,km,97
en,kn,330
en,ko,1415
en,koi,1
en,ks,15
en,ku,45
en,kv,1
en,kw,11
en,ky,34
en,la,35
en,lad,2
en,lb,5
en,lfn,1
en,lg,46
en,li,1
en,lld,1
en,ln,2
en,lo,10
en,lrc,1
en,lt,94
en,lv,111
en,lzh,4
en,mai,1
en,mg,1
en,mi,7
en,min,1
en,mk,657
en,ml,1332
en,mn,72
en,mni,4
en,mnw,2
en,mr,107
en,ms,407
en,mt,20
en,my,150
en,mzn,5
en,nah,3
en,nan,5
en,nap,1
en,nb,327
en,nds,2
en,ne,75
en,nl,676
en,nn,14
en,nov,1
en,nqo,3
en,nso,8
en,nv,4
en,ny,5
en,oc,10
en,om,10
en,or,37
en,os,5
en,pa,539
en,pag,7
en,pam,1
en,pap,2
en,pcd,1
en,pcm,8
en,pdc,7
en,pi,1
en,pl,905
en,pms,1
en,pnb,9
en,pnt,3
en,ps,14
en,pt,2780
en,qu,20
en,rm,4
en,rmy,1
en,rn,1
en,ro,489
en,ru,1449
en,rue,2
en,rup,4
en,rw,273
en,sa,19
en,sah,1
en,sat,11
en,sc,2
en,scn,2
en,sco,14
en,sd,11
en,se,4
en,sg,1
en,sh,20
en,shi,2
en,shn,3
en,si,138
en,simple,115
en,sk,153
en,skr,1
en,sl,245
en,sm,1
en,smn,5
en,sn,35
en,so,23
en,sq,206
en,sr,2041
en,ss,7
en,st,26
en,stq,2
en,su,5
en,sv,423
en,sw,315
en,ta,253
en,tcy,4
en,te,335
en,tet,1
en,tg,16
en,th,418
en,ti,10
en,tk,12
en,tl,846
en,tn,17
en,to,1
en,tpi,4
en,tr,2504
en,trv,1
en,ts,2
en,tt,6
en,tum,4
en,tw,489
en,ug,3
en,uk,1479
en,ur,291
en,uz,5003
en,ve,4
en,vec,1
en,vi,922
en,vls,1
en,vo,1
en,vro,2
en,war,4
