Language,translation in,translation out
es,145,148
ca,144,145
tr,143,142
da,143,143
fr,143,148
sv,143,143
pl,143,143
th,142,142
sw,142,142
pt,142,143
ne,142,142
mk,142,142
mn,142,142
sr,142,142
yi,142,142
hi,142,142
zh,142,142
fa,142,142
bn,142,142
it,142,143
my,142,142
fi,142,142
de,142,142
uz,142,142
ht,142,142
bs,142,142
kk,142,142
ky,142,142
ta,142,142
mt,142,142
sl,142,142
tg,142,142
eo,142,142
nl,142,142
gd,142,142
su,142,142
gu,142,142
hr,142,142
mi,142,142
cs,142,142
ceb,142,142
et,142,142
ko,142,142
he,142,142
kn,142,142
am,142,142
el,142,142
ro,142,142
be-tarask,142,142
ur,142,142
xh,142,142
ar,142,142
lo,142,142
ms,142,142
sq,142,142
wuu,142,142
la,142,142
lv,142,142
ga,142,142
tl,142,142
id,142,142
az,142,142
si,142,142
gl,142,142
eu,142,142
hu,142,142
km,142,142
mg,142,142
sh,142,142
af,142,142
ml,142,142
sk,142,142
bg,142,142
vi,142,142
pa,142,142
mr,142,142
be,142,142
jv,142,142
ja,142,142
ru,142,142
tt,142,142
ka,142,142
is,142,142
lt,142,142
cy,142,142
lb,142,142
te,142,142
hy,142,142
uk,142,142
en,141,149
simple,141,141
nso,134,134
ln,134,134
ha,134,134
ilo,134,134
so,134,134
or,134,134
ee,134,134
mai,134,134
arz,134,134
yo,134,134
om,134,134
dv,134,134
ny,134,134
tk,134,134
st,134,134
rw,134,134
ts,134,134
co,134,134
ay,134,134
haw,134,134
gom,134,134
yue,134,134
as,134,134
gn,134,134
ug,134,134
gan,134,134
fy,134,134
sa,134,134
sn,134,134
lg,134,134
no,134,134
sm,134,134
zu,134,134
mni,134,134
sd,134,134
tw,134,134
ps,134,134
bho,134,134
ig,134,134
ku,134,134
bm,134,134
ti,134,134
ckb,134,134
qu,134,134
nb,100,99
mrj,98,98
sah,98,98
udm,98,98
cv,98,98
ba,98,98
mhr,98,98
pap,98,98
oc,5,2
kg,3,0
ss,3,0
nn,3,3
tn,3,0
ast,3,1
sc,2,0
an,2,2
wo,2,0
szl,1,1
qqq,1,0
bcl,1,0
br,0,1
se,0,1
crh-latn,0,1
